Period,Scenario,LoadLevel,Demand
2027,WS021,01-15 20:00:00+01:00,4233.857448
2027,WS021,01-15 21:00:00+01:00,3955.412787
2027,WS021,01-15 22:00:00+01:00,3645.951955
2027,WS021,01-15 23:00:00+01:00,3317.587305
2027,WS021,01-16 00:00:00+01:00,3041.489377
2027,WS021,01-16 01:00:00+01:00,2867.743925
2027,WS021,01-16 02:00:00+01:00,2779.143307
2027,WS021,01-16 03:00:00+01:00,2754.474026
2027,WS021,01-16 04:00:00+01:00,2834.922969
2027,WS021,01-16 05:00:00+01:00,3066.2206
2027,WS021,01-16 06:00:00+01:00,3453.491596
2027,WS021,01-16 07:00:00+01:00,3811.672601
2027,WS021,01-16 08:00:00+01:00,4012.838272
2027,WS021,01-16 09:00:00+01:00,4214.660261
2027,WS021,01-16 10:00:00+01:00,4213.270518
2027,WS021,01-16 11:00:00+01:00,4262.088549
2027,WS021,01-16 12:00:00+01:00,4277.117931
2027,WS021,01-16 13:00:00+01:00,4256.114071
2027,WS021,01-16 14:00:00+01:00,4162.225349
2027,WS021,01-16 15:00:00+01:00,4145.257621
2027,WS021,01-16 16:00:00+01:00,4135.80175
2027,WS021,01-16 17:00:00+01:00,4243.784991
2027,WS021,01-16 18:00:00+01:00,4337.663773
2027,WS021,01-16 19:00:00+01:00,4312.376482
2027,WS021,01-16 20:00:00+01:00,4155.791481
2027,WS021,01-16 21:00:00+01:00,3872.539506
2027,WS021,01-16 22:00:00+01:00,3567.298669
2027,WS021,01-16 23:00:00+01:00,3263.611304
2027,WS021,01-17 00:00:00+01:00,3008.961397
2027,WS021,01-17 01:00:00+01:00,2844.27885
2027,WS021,01-17 02:00:00+01:00,2754.538201
2027,WS021,01-17 03:00:00+01:00,2732.362553
2027,WS021,01-17 04:00:00+01:00,2811.43713
2027,WS021,01-17 05:00:00+01:00,3039.89012
2027,WS021,01-17 06:00:00+01:00,3426.084365
2027,WS021,01-17 07:00:00+01:00,3781.761848
2027,WS021,01-17 08:00:00+01:00,3979.365044
2027,WS021,01-17 09:00:00+01:00,4149.763489
2027,WS021,01-17 10:00:00+01:00,4152.868615
2027,WS021,01-17 11:00:00+01:00,4190.815313
2027,WS021,01-17 12:00:00+01:00,4210.832951
2027,WS021,01-17 13:00:00+01:00,4188.326187
2027,WS021,01-17 14:00:00+01:00,4105.738906
2027,WS021,01-17 15:00:00+01:00,4087.740898
2027,WS021,01-17 16:00:00+01:00,4074.821427
2027,WS021,01-17 17:00:00+01:00,4171.634731
2027,WS021,01-17 18:00:00+01:00,4269.199582
2027,WS021,01-17 19:00:00+01:00,4254.267497
2027,WS021,01-17 20:00:00+01:00,4104.357564
2027,WS021,01-17 21:00:00+01:00,3829.210393
2027,WS021,01-17 22:00:00+01:00,3530.661433
2027,WS021,01-17 23:00:00+01:00,3240.254004
2027,WS021,01-18 00:00:00+01:00,2998.835582
2027,WS021,01-18 01:00:00+01:00,2835.99607
2027,WS021,01-18 02:00:00+01:00,2747.298555
2027,WS021,01-18 03:00:00+01:00,2724.593925
2027,WS021,01-18 04:00:00+01:00,2802.505729
2027,WS021,01-18 05:00:00+01:00,3027.337907
2027,WS021,01-18 06:00:00+01:00,3407.513615
2027,WS021,01-18 07:00:00+01:00,3758.29974
2027,WS021,01-18 08:00:00+01:00,3950.0337
2027,WS021,01-18 09:00:00+01:00,4083.766236
2027,WS021,01-18 10:00:00+01:00,4078.893118
2027,WS021,01-18 11:00:00+01:00,4095.241505
2027,WS021,01-18 12:00:00+01:00,4104.657738
2027,WS021,01-18 13:00:00+01:00,4078.147516
2027,WS021,01-18 14:00:00+01:00,4002.38856
2027,WS021,01-18 15:00:00+01:00,3997.894934
2027,WS021,01-18 16:00:00+01:00,4004.343147
2027,WS021,01-18 17:00:00+01:00,4126.538717
2027,WS021,01-18 18:00:00+01:00,4257.032982
2027,WS021,01-18 19:00:00+01:00,4248.715651
2027,WS021,01-18 20:00:00+01:00,4104.937962
2027,WS021,01-18 21:00:00+01:00,3838.386016
